state,mp_name,total_works,works_with_sanction_data,total_sanctioned_amount,high_critical_count,avg_risk_score,max_risk_score,high_critical_rate_pct,small_sample_warning
Haryana,DEEPENDER SINGH HOODA,36,30,23635592.0,2,10.933814228170863,81.24248419255984,5.56,False
Rajasthan,KULDEEP INDORA,5,0,,2,42.050894138639975,50.73703401993872,40.0,True
Odisha,DHARMENDRA PRADHAN,3,0,,2,48.64877096344569,51.80379378563947,66.67,True
Punjab,AMRINDER SINGH RAJA WARRING,3,0,,2,48.71471611259812,53.297257457620546,66.67,True
Himachal Pradesh,Kangana Ranaut,97,26,13904455.0,2,20.646666855824616,52.0850304511424,2.06,False
Karnataka,PRIYANKA SATISH JARKIHOLI,10,2,1050000.0,1,28.464548663640947,50.93292990418558,10.0,True
Rajasthan,MANJU SHARMA,8,5,5247255.0,1,16.408838348225302,50.53337988285039,12.5,True
Rajasthan,MANNA LAL RAWAT,26,20,25180812.0,1,10.914312466612436,58.73288335466853,3.85,False
Rajasthan,Om Birla,12,10,8052238.0,1,7.595652792324503,77.87734202257653,8.33,True
Rajasthan,Rahul Kaswan,6,0,,1,37.74583963691377,51.91046976220955,16.67,True
Telangana,Kishan Reddy Gangapuram,3,0,,1,44.26665115016099,50.527561193219285,33.33,True
West Bengal,KALIPADA SAREN,6,5,16074531.0,1,8.346263754735768,50.07758252841461,16.67,True
Rajasthan,Dushyant Singh,1,0,,1,50.752550525621636,50.752550525621636,100.0,True
Tamil Nadu,Sasikanth Senthil,20,7,7248655.0,1,16.723107956088292,50.16292330967066,5.0,False
Uttar Pradesh,AKHILESH YADAV,12,0,,1,26.650891552555695,51.3809690057799,8.33,True
Karnataka,H.D. KUMARASWAMY,8,0,,1,25.724669304472634,50.92905077776485,12.5,True
Madhya Pradesh,Gyaneshwar Patil,90,87,24731533.0,1,2.238429936937684,81.20330501571047,1.11,False
Haryana,VARUN CHAUDHRY,7,0,,1,37.985514233623164,50.57992939989914,14.29,True
Haryana,Shri Dharambir Singh,16,4,2721461.0,1,28.369332482083827,51.1928313743745,6.25,True
Himachal Pradesh,RAJEEV BHARDWAJ,22,11,1769465.0,1,14.177355993732276,51.39066682183173,4.55,False
Haryana,Rao Inderjit Singh,14,8,10343438.0,1,18.92005785439976,51.889134566895535,7.14,True
Haryana,MANOHAR LAL,1,0,,1,50.060126459521314,50.060126459521314,100.0,True
Haryana,JAI PARKASH,22,0,,1,12.672488882776326,53.052872493114556,4.55,False
Uttar Pradesh,Ashok Kumar Rawat,1,0,,1,96.7857558477831,96.7857558477831,100.0,True
Tamil Nadu,Kanimozhi Karunanidhi,10,8,24347600.0,1,19.203994064936577,64.25643469490672,10.0,True
West Bengal,PATHAN YUSUF,3,1,2000000.0,1,29.49429121895083,50.605143721633894,33.33,True
Uttar Pradesh,HARENDRA SINGH MALIK,58,47,24673199.0,1,9.085806705528999,52.34881104775205,1.72,False
Uttar Pradesh,IMRAN MASOOD,10,0,,1,39.63575002909345,50.61096241126499,10.0,True
Gujarat,DINESHBHAI MAKWANA,1,0,,1,51.766942084642544,51.766942084642544,100.0,True
Uttar Pradesh,Jagdambika Pal,3,0,,1,37.53119464163337,50.108615539780445,33.33,True
Kerala,Vellalath Kochukrishnan Nair Sreekandan,8,0,,1,37.85445517669421,50.44415997517359,12.5,True
Madhya Pradesh,ANITA NAGARSINGH CHOUHAN,3,0,,1,35.843128127545675,50.605143721633894,33.33,True
Jammu And Kashmir,Jitendra Singh,75,62,11963246.0,1,5.359862247763165,69.62062143605262,1.33,False
Madhya Pradesh,Faggan Singh Kulaste,24,8,8000000.0,1,21.195758175258934,50.07370340199387,4.17,False
Uttar Pradesh,PRAVEEN PATEL,1,0,,1,50.669149307575935,50.669149307575935,100.0,True
Karnataka,V. SOMANNA,9,0,,1,33.17903030459763,50.14546724077738,11.11,True
Odisha,BALABHADRA MAJHI,9,0,,1,23.13510997323403,51.6195352806548,11.11,True
Arunachal Pradesh,Kiren Rijiju,1,0,,1,95.42030334768612,95.42030334768612,100.0,True
Assam,AMARSING TISSO,45,33,36682540.0,1,14.010778193062272,70.33168431669188,2.22,False
Maharashtra,RAVINDRA DATTARAM WAIKAR,19,17,32500000.0,1,15.231506110002224,52.29476553015536,5.26,True
Odisha,Smt Aparajita Sarangi,26,0,,1,23.3161607390631,51.67190348733465,3.85,False
Uttarakhand,Ajay Tamta,9,0,,1,37.69239389511704,51.66608479770356,11.11,True
Odisha,SUKANTA KUMAR PANIGRAHI,13,0,,1,33.81688136139433,50.41894565343884,7.69,True
Puducherry,Vaithilingam Ve,13,9,18624900.0,1,17.93084914059572,50.49846774506381,7.69,True
Punjab,CHARANJIT SINGH CHANNI,4,0,,1,43.5839249001125,78.15275999844836,25.0,True
Uttar Pradesh,RAMBHUAL NISHAD,6,5,15852234.0,1,9.325523358806263,51.953140152837584,16.67,True
Uttar Pradesh,Shri Arun Kumar Sagar,4,2,47808000.0,1,25.010008146165482,51.668024360913925,25.0,True
Bihar,MANOJ KUMAR,26,24,22300943.0,1,2.975066168944908,50.4383412855425,3.85,False
Chhattisgarh,CHINTAMANI MAHARAJ,19,10,9997500.0,1,9.924855536568254,54.15616069927718,5.26,True
Punjab,Shri Amar Singh,12,0,,1,42.833443241915255,77.32611815819078,8.33,True
Uttar Pradesh,Swami Sachchidanandhari Sakshi ji Maharaj,10,9,8776638.0,1,8.440009309903411,84.40009309903411,10.0,True
Bihar,LOVELY ANAND,4,0,,1,36.31444198766438,50.00387912642073,25.0,True
Rajasthan,AMRARAM,14,5,2068420.0,1,22.78878248999278,53.5993444276349,7.14,True
Assam,RAKIBUL HUSSAIN,27,22,10450000.0,1,8.116746476100989,50.378214826021186,3.7,False
Andhra Pradesh,Krishna Prasad Tenneti,3,0,,1,37.847989965992994,51.807672912060205,33.33,True
Rajasthan,BHUPENDER YADAV,17,12,11973563.0,1,13.744160211914394,51.74754645253889,5.88,True
Tamil Nadu,Manickam Tagore B,24,18,24134014.0,0,9.911554818521537,44.98041041157531,0.0,False
Tamil Nadu,SELVAGANAPATHI T M,2,0,,0,39.01528375809768,45.86485123550177,0.0,True
Odisha,BIBHU PRASAD TARAI,2,0,,0,23.950696303192522,33.45358625237597,0.0,True
Tamil Nadu,SACHITHANANTHAM R,24,21,29545582.0,0,4.159999418131037,37.56546025834982,0.0,False
Odisha,MALVIKA DEVI,59,51,17198000.0,0,2.612525896456254,28.300166802436095,0.0,False
Odisha,RABINDRA NARAYAN BEHERA,1,0,,0,18.79048838201637,18.79048838201637,0.0,True
Odisha,NABA CHARAN MAJHI,8,0,,0,27.74642150587688,48.9080259125645,0.0,True
Tamil Nadu,S. Jagathrakshakan,5,2,1996264.0,0,25.262034989720313,49.29205942821677,0.0,True
Tamil Nadu,S Venkatesan,7,1,2500000.0,0,27.118695726865173,46.817176771791,0.0,True
Odisha,PRADEEP PUROHIT,6,0,,0,33.692799048320985,48.27184917956477,0.0,True
Tamil Nadu,ROBERT BRUCE C,3,0,,0,40.18257755020236,49.332790255634436,0.0,True
Maharashtra,VISHAL,2,0,,0,30.6955273672369,32.34027696962644,0.0,True
Telangana,Arvind Dharmapuri,158,151,56849921.0,0,3.303673515282669,34.42724698397921,0.0,False
Telangana,ARUNA. D. K,7,0,,0,26.01563842108472,34.59210985686023,0.0,True
Tamil Nadu,V S Matheswaran,48,47,33324968.0,0,1.9075065768741262,38.418868070910435,0.0,False
Tamil Nadu,Thirumaa Valavan Thol,2,0,,0,31.01555529694713,36.52003568796307,0.0,True
Tamil Nadu,Thiru Dayanidhi Maran,1,1,10000000.0,0,14.183564,14.183564,0.0,True
Meghalaya,SALENG A SANGMA,11,1,1000000.0,0,28.206362472625713,49.79440629970131,0.0,True
Mizoram,RICHARD VANLALHMANGAIHA,103,101,44997115.0,0,0.6775544329941169,31.277396330346406,0.0,False
Tamil Nadu,Thalikkottai Rajuthevar Baalu,4,4,6047819.0,0,0.0,0.0,0.0,True
Tamil Nadu,SUDHA R,11,0,,0,28.881506793760956,39.95500213351953,0.0,True
Tamil Nadu,THANGA TAMILSELVAN,9,0,,0,33.7628388309175,40.853019899918536,0.0,True
Tamil Nadu,T Sumathy (A) Thamizhachi Thangapandian,4,4,19108000.0,0,12.830141960949938,16.2,0.0,True
Tamil Nadu,Smt S Jothimani,7,6,2102003.0,0,6.9525361174377815,18.001086155397807,0.0,True
Tamil Nadu,Shri vijayakumar Vasanth,17,11,12850000.0,0,14.285493208106006,36.59761821637768,0.0,True
Tamil Nadu,Shri Karti P Chidambaram,15,13,14148098.0,0,5.4066595118334915,41.361185461034175,0.0,True
Odisha,ANITA SUBHADARSHINI,3,0,,0,18.12133907444044,28.550370456573184,0.0,True
Tamil Nadu,MURASOLI S,29,27,43840042.0,0,3.9054433320837343,41.046976220955045,0.0,False
Odisha,AVIMANYU SETHI,13,0,,0,25.193284933771373,36.574343457853296,0.0,True
Odisha,BAIJAYANT PANDA,7,0,,0,33.42975733293434,42.56759377788123,0.0,True
Tamil Nadu,SELVARAJ V,2,0,,0,34.123705341557084,35.97113929942977,0.0,True
Tamil Nadu,THARANIVENTHAN M S,67,65,37945938.0,0,1.4890277809138874,48.09534892742155,0.0,False
Sikkim,Indra Hang Subba,21,20,46078159.0,0,1.2057617957769244,25.320997711315414,0.0,False
Rajasthan,UMMEDA RAM BENIWAL,1,0,,0,30.654796539819237,30.654796539819237,0.0,True
Rajasthan,Shri PP Chaudhary,4,1,2257000.0,0,25.14595213157997,46.77062725474224,0.0,True
Odisha,Shri Jual Oram,76,64,38488256.0,0,6.74915370990036,41.1381356918422,0.0,False
Rajasthan,Shri Hanuman Beniwal,159,156,42252197.0,0,0.6255884256626414,43.21346832693278,0.0,False
Odisha,Smt Sangeeta Kumari Singh Deo,6,0,,0,20.934028990004787,27.177159703634743,0.0,True
Rajasthan,Shri Arjun Ram Meghwal,22,19,22613245.0,0,6.152346971121215,46.01807672912061,0.0,False
Telangana,BALRAM NAIK PORIKA,13,0,,0,16.673977327998045,32.084254625858264,0.0,True
Rajasthan,Rao Rajendra Singh,2,0,,0,26.02699871988828,27.89091896504907,0.0,True
Tamil Nadu,K E PRAKASH,17,16,13805060.0,0,1.6964606394169444,17.506497536754722,0.0,True
Rajasthan,RAJ KUMAR ROAT,23,23,24201381.0,0,0.03308556521739126,0.7609679999999991,0.0,False
Punjab,SHER SINGH GHUBAYA,67,55,12843812.0,0,2.9547074357063745,18.199891384460216,0.0,False
Rajasthan,MURARI LAL MEENA,4,0,,0,38.1158113192909,41.8092245626285,0.0,True
Punjab,SUKHJINDER SINGH RANDHAWA,20,0,,0,28.721536909887895,44.95713565305094,0.0,False
Rajasthan,MAHIMA KUMARI MEWAR,11,0,,0,34.45087439036002,49.629543426820284,0.0,True
Rajasthan,LUMBARAM,1,0,,0,20.4914853175065,20.4914853175065,0.0,True
Rajasthan,BHAJAN LAL JATAV,2,0,,0,42.952597075138684,45.21897668645021,0.0,True
Rajasthan,Chandra Prakash Joshi,5,4,1652750.0,0,5.431164901664145,27.155824508320727,0.0,True
Rajasthan,BRIJENDRA SINGH OLA,21,16,8500928.0,0,9.31470443994466,49.28236161216494,0.0,False
Punjab,SARABJEET SINGH KHALSA,125,119,31055265.0,0,1.597486326079367,43.48306761317352,0.0,False
Tamil Nadu,MANI. A.,5,3,4310000.0,0,15.433492377516583,38.63028046084022,0.0,True
Tamil Nadu,M.K. VISHNUPRASAD,17,15,11061136.0,0,5.606826797133098,47.58524380309555,0.0,True
Tamil Nadu,Kani K Navas,4,0,,0,29.236006051437222,39.972458202412824,0.0,True
Tamil Nadu,Kalanidhi Veeraswamy,3,1,10000000.0,0,27.078543689738847,43.82249117498739,0.0,True
Tamil Nadu,K Subbarayan,30,30,39914923.0,0,3.676,27.8,0.0,False
Tamil Nadu,Ganesan Selvam,41,41,28743191.0,0,1.6913821138211382,17.333333333333332,0.0,False
Odisha,RUDRA NARAYAN PANY,1,0,,0,48.69079483300361,48.69079483300361,0.0,True
Odisha,SAMBIT PATRA,3,0,,0,23.872790514242862,26.682571084991665,0.0,True
Tamil Nadu,GOPINATH K,4,0,,0,26.937866092555957,33.70572946972342,0.0,True
Tamil Nadu,ARUN NEHRU,15,13,13645000.0,0,6.065938218446539,42.23786803211917,0.0,True
Tamil Nadu,ESWARASAMY K,8,4,2800092.0,0,24.401209688312193,44.67783855075837,0.0,True
Tamil Nadu,DURAI VAIKO,6,0,,0,40.19227536625419,45.37802086970015,0.0,True
Tamil Nadu,DR RANI SRI KUMAR,7,7,16942527.0,0,0.0,0.0,0.0,True
Odisha,Saptagiri Sankar Ulaka,16,0,,0,15.793257108499168,27.36917646146088,0.0,True
Tamil Nadu,D Ravikumar,21,17,15639605.0,0,2.862610578193029,15.206175569261802,0.0,False
Tamil Nadu,D M Kathir Anand,3,0,,0,31.12611039993794,31.263819387873852,0.0,True
Odisha,Shri Bhartruhari Mahtab,5,0,,0,23.27592226230653,36.45990922844176,0.0,True
Tamil Nadu,CN Annadurai,20,17,10784912.0,0,7.324599402614531,43.20183094767059,0.0,False
Tamil Nadu,Andimuthu Raja,13,10,11594651.0,0,19.18096590247876,49.29787811784786,0.0,True
Tamil Nadu,GANAPATHY RAJKUMAR P,3,0,,0,34.504829512393805,40.304123511385235,0.0,True
West Bengal,Smt Satabdi Roy (Banerjee),17,16,10940960.0,0,1.0882090529683304,18.499553900461617,0.0,True
West Bengal,Smt Sajda Ahmed,23,19,8329608.0,0,3.616020454802274,25.31323945847395,0.0,False
West Bengal,Shri Abhishek Banerjee,152,150,46418634.0,0,0.5627485448171808,40.96745412933008,0.0,False
West Bengal,Shatrughan Sinha,4,4,15696000.0,0,6.933333333333334,13.866666666666667,0.0,True
West Bengal,Saumitra khan,32,31,29176583.0,0,1.2883548624849683,41.22735559951899,0.0,False
West Bengal,SK NURUL ISLAM,18,18,35118648.0,0,7.744444444444444,30.666666666666664,0.0,True
West Bengal,SAYANI GHOSH,2,0,,0,28.50285115791924,34.791884867527834,0.0,True
West Bengal,Raju Bista,88,86,42941398.0,0,4.426116769983877,35.926529345591376,0.0,False
West Bengal,RACHNA BANERJEE,23,23,19742891.0,0,0.6579710144927536,15.133333333333333,0.0,False
West Bengal,Prof Sougata Ray,2,2,2200000.0,0,6.766666666666667,13.533333333333333,0.0,True
West Bengal,Pratima Mondal,90,88,32974236.0,0,0.7194772208784375,32.54587066992514,0.0,False
West Bengal,Prasun Banerjee,34,3,3283628.0,0,16.024785335989392,43.35505644128942,0.0,False
Meghalaya,ANDREW J. SYNGKON,3,0,,0,10.45332979901815,12.71965553357384,0.0,True
West Bengal,Ms Mahua Moitra,22,21,35958802.0,0,2.4576440537106197,49.62372473718919,0.0,False
West Bengal,Mala Roy,14,13,23763528.0,0,3.6505996944726142,46.663951278172156,0.0,True
West Bengal,MANOJ TIGGA,10,0,,0,38.47298188447961,41.39221847240002,0.0,True
West Bengal,Khalilur Rahaman,11,0,,0,19.769967803250708,32.05904030412351,0.0,True
West Bengal,Kalyan Banerjee,27,26,16289438.0,0,0.7207273218367519,19.459637689592302,0.0,False
West Bengal,Kakoli Ghosh Dastidar,57,57,35395271.0,0,4.046356535176324,17.444444444444443,0.0,False
West Bengal,Jagannath Sarkar,43,41,20169014.0,0,1.4048752500006767,37.23573451258777,0.0,False
West Bengal,JUNE MALIAH,2,0,,0,41.253539702858916,49.16210869312231,0.0,True
Uttar Pradesh,RAMASHANKAR RAJBHAR,100,77,32447445.0,0,6.453912745516377,37.677954924550995,0.0,False
West Bengal,Dr Sukanta Majumdar,13,2,1902957.0,0,19.51543743118281,35.39314946274099,0.0,True
West Bengal,DR. SHARMILA SARKAR,27,24,21170129.0,0,7.772091176065844,43.78677088586317,0.0,False
West Bengal,BAPI HALDAR,85,84,28881057.0,0,0.6535312490592304,24.626634082004735,0.0,False
West Bengal,BAG MITALI,30,26,11231376.0,0,4.802455487024322,37.009775398580246,0.0,False
West Bengal,PARTHA BHOWMICK,1,1,700000.0,0,18.066666666666666,18.066666666666666,0.0,True
Assam,Kripanath Mallah,6,0,,0,31.867993327902557,48.39016253539703,0.0,True
Assam,KAMAKHYA PRASAD TASA,8,0,,0,28.033234415609606,49.78470848364948,0.0,True
Assam,JOYANTA BASUMATARY,3,0,,0,28.713940287313964,39.10353388416929,0.0,True
Assam,GAURAV GOGOI,44,39,7649156.0,0,2.9407745557518634,29.5531246363319,0.0,False
Assam,Dilip Saikia,4,0,,0,25.209957717522016,34.00636176733,0.0,True
Assam,BIJULI KALITA MEDHI,45,40,28150000.0,0,4.674858347233536,49.4123123472594,0.0,False
Arunachal Pradesh,Shri Tapir Gao,47,45,46995613.0,0,1.776887504508453,41.77431242484192,0.0,False
Andhra Pradesh,Y S Avinash Reddy,56,48,22325651.0,0,4.095441790449991,40.39080162948824,0.0,False
Andhra Pradesh,TANGELLA UDAY SRINIVAS,3,0,,0,22.346354267685587,26.570076418790492,0.0,True
Andhra Pradesh,Sribharat MathuKumli,7,0,,0,29.190980476910884,42.42794522673495,0.0,True
Andhra Pradesh,Putta Mahesh Kumar,58,53,30558000.0,0,2.9503685911757884,38.72725862135847,0.0,False
Andhra Pradesh,PRABHAKAR REDDY VEMIREDDY,6,0,,0,29.004228247798597,35.16816013033865,0.0,True
Andhra Pradesh,Midhun Reddy,38,17,6281608.0,0,16.191961122986683,42.60444547887816,0.0,False
West Bengal,ARUP CHAKRABORTY,4,4,15633815.0,0,0.0,0.0,0.0,True
Andhra Pradesh,Maddila Gurumoorthy,53,27,14743911.0,0,13.73734945065192,42.39885177857947,0.0,False
Andhra Pradesh,Lavu Sri Krishna Devarayalu,1,1,416758.0,0,0.0,0.0,0.0,True
Andhra Pradesh,Kinjarapu Ram Mohan Naidu,4,0,,0,25.260871251794097,31.680825478102335,0.0,True
Andhra Pradesh,Gumma Thanuja Rani,14,8,11155200.0,0,9.8761173269494,25.276387757477018,0.0,True
Andhra Pradesh,GM Harish Balayogi,5,1,3507771.0,0,17.594553706505295,31.217269870825092,0.0,True
West Bengal,JAGADISH CHANDRA BARMA BASUNIA,35,35,20535060.0,0,0.0,0.0,0.0,False
Andhra Pradesh,DR BYREDDY SHABARI,3,0,,0,16.720327915486767,22.623065285697663,0.0,True
Andhra Pradesh,DAGGUMALLA PRASADA RAO,88,88,46841989.0,0,0.6142103630573731,18.854279999999996,0.0,False
Andhra Pradesh,C.M.RAMESH,2,0,,0,46.99173746072385,49.21059777338144,0.0,True
Andhra Pradesh,Balashowry Vallabbhaneni,14,13,6383559.0,0,7.484554594259725,49.37801878412274,0.0,True
Andhra Pradesh,BASTIPATI NAGARAJU PANCHALINGALA,1,1,2998485.0,0,0.0,0.0,0.0,True
Andhra Pradesh,B K PARTHASARATHI,2,0,,0,23.790682338337408,25.15419527522402,0.0,True
Andhra Pradesh,Appalanaidu Kalisetti,2,0,,0,36.75472283641724,49.78858761007021,0.0,True
Andhra Pradesh,Magunta Sreenivasulu Reddy,1,0,,0,33.957872687070875,33.957872687070875,0.0,True
Uttar Pradesh,CHANDAN CHAUHAN,34,17,12578200.0,0,18.632093065566405,42.932231661429846,0.0,False
Uttar Pradesh,Bhola Singh,50,0,,0,18.027890918965046,29.01974475348152,0.0,False
Uttar Pradesh,BABU SINGH KUSHWAHA,123,0,,0,38.1641466536858,49.59236846528828,0.0,False
Uttar Pradesh,Anurag Sharma,9,2,722565.0,0,15.318454728439601,42.46867605415261,0.0,True
Uttar Pradesh,AWADHESH PRASAD,47,12,16253170.0,0,20.67339158625734,37.38120175336515,0.0,False
Uttar Pradesh,ATUL GARG,8,2,1971552.0,0,23.560844097909154,42.82943481128049,0.0,True
Uttar Pradesh,ARUN GOVIL,12,8,6845719.0,0,8.867359737253839,35.569649714884214,0.0,True
Uttar Pradesh,ANOOP PRADHAN BALMIKI,11,11,20657395.0,0,0.0,0.0,0.0,True
Uttar Pradesh,ANAND BHADAURIYA,2,1,1000000.0,0,8.351759183831803,16.703518367663605,0.0,True
Uttar Pradesh,AKSHAYA YADAV,20,20,48855158.0,0,0.2,4.0,0.0,False
Uttar Pradesh,AJENDRA SINGH LODHI,77,71,41529000.0,0,8.26991425054855,36.987470421661044,0.0,False
Uttar Pradesh,AFZAL ANSARI,42,42,29386910.0,0,1.5760572251927367,35.20291835529552,0.0,False
West Bengal,Asit Kumar Mal,93,90,68422973.0,0,2.0437490296921186,46.87536366810195,0.0,False
Tripura,KRITI DEVI DEBBARMAN,6,0,,0,34.562046627099576,49.914659218743935,0.0,True
Tripura,BIPLAB KUMAR DEB,3,0,,0,44.1237699936641,45.70580705225184,0.0,True
Telangana,VAMSI KRISHNA GADDAM,1,0,,0,24.421040381706042,24.421040381706042,0.0,True
Telangana,Sanjay Kumar Bandi,5,0,,0,20.077582528414602,25.871833663059082,0.0,True
Telangana,SURESH KUMAR SHETKAR,5,0,,0,24.089375072733624,30.600488769929015,0.0,True
Telangana,RAMASAHAYAM RAGHURAM REDDY,11,0,,0,25.247294309321546,40.30412351138524,0.0,True
Telangana,MADHAVANENI RAGHUNANDAN RAO,8,8,5250000.0,0,4.3651012,15.5208096,0.0,True
Telangana,KONDA VISHWESHWAR REDDY,18,9,4598104.0,0,11.904284710638722,32.03576554559913,0.0,True
Telangana,KADIYAM KAVYA,3,0,,0,25.588010913275667,28.627952984987786,0.0,True
Telangana,GODAM NAGESH,2,0,,0,31.025253112998957,34.320571007409136,0.0,True
Telangana,EATALA RAJENDER,25,17,17100811.0,0,9.185052515613483,39.36149579114783,0.0,False
Telangana,DR.MALLU RAVI,1,0,,0,22.82671942278599,22.82671942278599,0.0,True
Telangana,CHAMALA KIRAN KUMAR REDDY,147,143,14880194.0,0,0.8490156832380006,31.837930098141904,0.0,False
Uttar Pradesh,ADITYA YADAV,3,0,,0,30.37840878234222,40.860778152760005,0.0,True
West Bengal,Abu Taher Khan,6,1,1500000.0,0,29.899659929917117,45.473059467008035,0.0,True
West Bengal,AZAD KIRTI JHA,23,22,27242215.0,0,2.1297469932932516,29.915822956670162,0.0,False
Uttar Pradesh,PRIYA SAROJ,391,380,16052720.0,0,1.0522403244814842,48.653943132006674,0.0,False
Uttar Pradesh,NEERAJ MAURYA,3,1,46470400.0,0,26.090564671502648,43.04472632763102,0.0,True
Uttar Pradesh,NARESH CHANDRA UTTAM PATEL,1,0,,0,32.68551922107142,32.68551922107142,0.0,True
Uttar Pradesh,NARAYAN DAS AHIRWAR,153,150,35864345.160000004,0,0.8345065789223483,42.64323674308545,0.0,False
Uttar Pradesh,Mukesh Rajput,147,147,35957104.0,0,0.0,0.0,0.0,False
Uttar Pradesh,Mahesh Sharma,32,28,26961651.28,0,5.053895612708018,42.25338453780209,0.0,False
Uttar Pradesh,MOHIBBULLAH,85,41,11930202.0,0,4.765940357290361,18.129097327281897,0.0,False
Uttar Pradesh,LAXMIKANT PAPPU NISHAD,26,0,,0,27.232661050885188,38.71562124209628,0.0,False
Uttar Pradesh,LALJI VERMA,48,41,32618406.0,0,4.8876992901198655,42.02063695255829,0.0,False
Uttar Pradesh,Kirti Vardhan Singh,4,0,,0,30.051107490593118,38.766049885565764,0.0,True
Uttar Pradesh,Kamlesh Paswan,7,0,,0,34.98750367131608,38.27921951976415,0.0,True
Uttar Pradesh,CHANDRA SHEKHAR,207,98,30242007.0,0,18.556429014891147,44.683657240389465,0.0,False
Uttar Pradesh,KISHORI LAL,5,0,,0,32.40340975212382,44.32095892005121,0.0,True
Uttar Pradesh,KARAN BHUSHAN SINGH,20,19,27154989.0,0,2.2949881686644167,45.89976337328834,0.0,False
Uttar Pradesh,KANWAR SINGH TANWAR,16,16,16911131.0,0,0.0,0.0,0.0,True
Uttar Pradesh,Jai Prakash,5,5,28685171.0,0,0.8,4.0,0.0,True
Uttar Pradesh,JITIN PRASADA,2,0,,0,39.522479537608135,41.30493812793359,0.0,True
Uttar Pradesh,JITENDRA KUMAR DOHARE,84,81,21817092.0,0,1.2828825234271528,36.007991000426706,0.0,False
Uttar Pradesh,IQRA CHOUDHARY,7,0,,0,42.84910752384277,48.42895379960433,0.0,True
Uttar Pradesh,DR. S P SINGH,21,0,,0,26.7331844487669,32.749524807013465,0.0,False
Uttar Pradesh,DR RAJKUMAR SANGWAN,1,0,,0,41.974087435509524,41.974087435509524,0.0,True
Uttar Pradesh,DHARMENDRA YADAV,6,0,,0,36.18643081578029,45.453663834904376,0.0,True
Uttar Pradesh,DAROGA PRASAD SAROJ,142,80,28257271.0,0,6.762343298317386,26.540982970635014,0.0,False
Uttar Pradesh,CHHOTELAL,132,132,43060751.0,0,0.2341783493060948,30.911542108404515,0.0,False
Uttar Pradesh,CHHATRA PAL SINGH GANGWAR,25,25,19471201.0,0,0.0,0.0,0.0,False
Uttar Pradesh,KRISHNA DEVI SHIVSHANKER PATEL,107,92,24187423.12,0,3.237040364304352,35.38539120989953,0.0,False
Gujarat,DR. MANSUKH MANDAVIYA,7,0,,0,22.718935124381414,28.907250087280346,0.0,True
Gujarat,DR. HEMANG JOSHI,27,9,10206868.0,0,16.64231437302542,32.23360099305637,0.0,False
Gujarat,DHAVAL LAXMANBHAI PATEL,4,0,,0,23.527386632530355,28.56200783583537,0.0,True
Gujarat,CHANDUBHAI CHHAGANBHAI SHIHORA,14,0,,0,27.205421910414344,49.35800457736918,0.0,True
Gujarat,C R Patil,21,1,500000.0,0,22.220836819929104,31.698281546995617,0.0,False
Gujarat,Bharatsinhji Shankarji Dabhi,10,5,2300000.0,0,11.221937235734515,29.19624500562474,0.0,True
Gujarat,BHARATBHAI MANUBHAI SUTARIYA,54,43,13786158.0,0,6.439581683426976,41.659878195430394,0.0,False
